,No.,Ticker,Market Cap,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Price,Change,Volume
790,791,WTW,24.76B,1.43%,3.40%,10.80%,6.70%,1.10,1.10,0.44,0.47,-,15.00%,12.10%,Apr 27/b,235.0,1.00%,1719948
791,792,WY,22.53B,2.45%,7.30%,11.90%,13.70%,1.20,0.90,0.40,0.50,28.20%,22.00%,14.10%,Apr 27/a,31.0,0.78%,15280621
792,793,WYNN,11.90B,0.96%,-1.80%,32.10%,-1.00%,3.10,3.10,-,-,38.70%,3.60%,-5.40%,May 09/a,103.73,-0.80%,2265369
793,794,XEL,35.40B,3.25%,2.90%,10.80%,6.20%,0.80,0.60,1.36,1.48,86.60%,15.90%,11.30%,Apr 27/b,63.92,-0.62%,6368672
794,795,XM,10.95B,-,-31.30%,-53.80%,-56.20%,1.20,1.20,0.00,0.00,70.40%,-66.00%,-67.10%,Apr 20/a,18.07,0.11%,4475947
795,796,XOM,428.11B,3.46%,16.70%,32.60%,18.30%,1.50,1.10,0.20,0.21,33.00%,18.10%,15.60%,Apr 28/b,105.13,-0.72%,43103014
796,797,XP,12.25B,-,1.90%,20.80%,5.70%,-,-,0.22,2.65,-,29.20%,26.30%,May 15/a,22.13,1.24%,4860742
797,798,XPEV,10.01B,-,-14.00%,-25.90%,-19.10%,1.70,1.50,0.17,0.30,9.60%,-40.00%,-41.70%,May 24/b,11.38,-1.81%,17459063
798,799,XYL,27.13B,1.16%,4.60%,11.00%,7.40%,2.00,1.40,0.53,0.00,38.00%,8.80%,6.50%,May 04/b,113.44,0.09%,3473229
799,800,YPF,10.74B,-,7.60%,19.00%,5.90%,1.00,0.60,0.60,0.73,24.80%,10.50%,10.80%,-,14.55,8.18%,4696623
800,801,YUM,38.99B,1.75%,21.20%,-14.10%,62.20%,1.00,1.00,-,-,48.50%,31.70%,17.70%,May 03/b,138.58,-0.45%,3747820
801,802,YUMC,24.70B,0.88%,5.30%,9.70%,7.90%,1.80,1.60,0.01,0.01,43.20%,9.40%,6.40%,May 02/a,59.4,0.44%,2503321
802,803,Z,10.87B,-,-,-,-,-,-,-,-,-,-,-,May 03/a,46.68,-3.07%,10275926
803,804,ZBH,29.74B,0.67%,2.10%,3.70%,3.30%,1.90,0.90,0.43,0.48,71.60%,11.60%,6.30%,May 02/b,144.1,1.07%,2812522
804,805,ZBRA,14.63B,-,5.50%,15.10%,9.40%,0.90,0.50,0.65,0.72,46.10%,9.40%,7.10%,May 02/b,282.4,-0.76%,636690
805,806,ZG,11.21B,-,-,-,-1.60%,12.70,-,0.37,0.38,81.10%,-,-,May 03/a,45.76,-2.95%,432473
806,807,ZI,11.43B,-,1.40%,4.60%,2.40%,1.50,1.50,0.53,0.53,83.90%,22.30%,8.80%,May 01/a,26.82,-5.56%,58345498
807,808,ZM,20.81B,-,0.10%,0.10%,1.60%,3.60,3.60,0.00,0.00,75.20%,1.50%,0.10%,May 22/a,70.06,0.17%,4728349
808,809,ZS,23.10B,-,-9.00%,-50.50%,-21.70%,2.00,2.00,1.90,1.90,77.80%,-18.40%,-18.20%,Jun 01/a,154.01,-2.73%,3207002
809,810,ZTO,22.85B,-,9.90%,14.40%,9.30%,1.30,1.30,0.13,0.25,27.30%,23.60%,20.80%,May 17/a,27.46,-1.79%,5890676
810,811,ZTS,79.22B,0.88%,14.80%,45.70%,17.20%,3.30,1.90,1.46,1.46,69.90%,32.40%,25.60%,May 04/b,170.74,-0.40%,3285481
