,No.,Ticker,Market Cap,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume,Price,Change,Volume
0,1,A,35.81B,296.00M,294.19M,0.30%,0.00%,90.70%,-3.26%,1.47%,2.25,1.93M,121.13,-0.08%,3939930
1,2,AAL,10.87B,652.00M,642.23M,0.10%,-14.35%,55.50%,1.45%,10.02%,2.61,24.66M,16.48,-1.02%,22625167
2,3,AAPL,2925.70B,15.79B,15.71B,0.07%,-4.36%,60.10%,-0.46%,0.75%,2.01,58.59M,184.92,-0.59%,95747006
3,4,ABBV,239.75B,1.77B,1.76B,0.13%,-11.62%,70.90%,0.11%,0.65%,1.94,5.86M,138.64,2.02%,14593437
4,5,ABC,36.83B,202.32M,162.29M,0.20%,-48.82%,72.40%,0.01%,3.03%,4.07,1.21M,183.01,0.62%,2000327
5,6,ABEV,49.75B,15.74B,4.41B,-,-,18.10%,2.13%,0.60%,1.64,16.03M,3.09,-1.28%,20356797
6,7,ABNB,81.75B,634.00M,392.44M,3.20%,-25.91%,64.30%,-1.19%,6.21%,3.8,6.41M,128.68,0.65%,6883826
7,8,ABT,182.62B,1.74B,1.73B,0.40%,-1.11%,76.20%,0.27%,0.78%,2.64,5.09M,106.2,1.12%,10012623
8,9,ACGL,26.13B,367.30M,358.48M,0.90%,-11.83%,90.70%,-0.11%,1.16%,2.16,1.93M,71.16,1.44%,3296161
9,10,ACGLN,26.50B,20.00M,-,-,-,-,-,-,0.71,89.89K,19.63,-0.10%,28769
10,11,ACI,12.19B,539.80M,313.67M,0.50%,-3.34%,68.40%,3.31%,4.68%,3.2,4.59M,21.37,0.61%,13976210
11,12,ACM,12.00B,138.93M,137.72M,0.10%,-55.01%,87.90%,-0.85%,1.23%,1.89,898.52K,86.67,0.42%,2080228
12,13,ACN,204.47B,630.85M,620.40M,0.10%,-9.45%,75.40%,1.20%,1.32%,2.96,2.77M,319.54,-1.31%,5259178
13,14,ADBE,225.18B,459.00M,457.38M,0.29%,-2.72%,84.10%,-0.72%,1.35%,1.7,3.63M,495.18,0.87%,13324076
14,15,ADI,95.10B,504.71M,494.70M,0.37%,-6.81%,89.30%,0.22%,1.29%,1.85,3.45M,188.36,-0.69%,6886920
15,16,ADM,40.61B,550.00M,542.29M,0.20%,0.00%,81.80%,-1.07%,1.01%,1.98,2.78M,75.48,1.23%,5522403
16,17,ADP,91.29B,413.70M,410.16M,0.10%,-29.98%,81.90%,0.80%,1.33%,2.95,1.85M,221.32,0.16%,3335514
17,18,ADSK,47.32B,215.00M,213.45M,0.10%,-6.04%,95.00%,1.98%,1.40%,2.09,1.43M,213.5,-3.58%,3287110
18,19,AEE,22.05B,262.20M,257.49M,0.20%,-19.25%,80.00%,-1.65%,1.43%,2.81,1.30M,84.08,0.13%,2812984
19,20,AEG,10.29B,2.00B,1.86B,10.10%,0.00%,9.90%,-0.68%,0.11%,1.12,1.91M,4.79,-2.44%,1361677
20,21,AEM,24.80B,468.97M,454.02M,0.20%,0.00%,78.10%,2.19%,2.11%,3.25,2.95M,51.0,1.15%,3136496
21,22,AEP,43.70B,514.18M,513.70M,0.03%,-33.61%,75.70%,0.33%,1.25%,2.35,2.74M,84.93,0.06%,5314597
22,23,AER,14.63B,239.37M,235.16M,2.60%,0.00%,86.01%,-0.78%,0.83%,1.71,1.14M,61.2,-0.67%,1192506
23,24,AES,14.38B,712.00M,665.70M,0.38%,-22.57%,97.40%,0.33%,2.28%,2.65,5.73M,21.34,-0.70%,12276062
24,25,AESC,14.28B,10.00M,10.00M,-,-,102.00%,-,0.18%,0.44,41.89K,83.04,-0.29%,49825
25,26,AFL,42.15B,611.21M,563.18M,0.10%,-20.30%,60.60%,-0.90%,1.95%,4.61,2.39M,69.43,-0.47%,5584958
26,27,AGR,14.98B,386.75M,70.75M,81.70%,0.00%,13.20%,-2.73%,6.41%,7.55,600.85K,38.66,-0.18%,893338
27,28,AIG,40.98B,738.66M,716.51M,0.32%,0.00%,92.00%,-3.16%,0.90%,1.39,4.64M,57.3,1.20%,10315800
28,29,AJG,45.76B,212.80M,208.85M,0.30%,-16.65%,87.20%,1.90%,0.89%,2.0,925.90K,213.78,0.07%,1553878
29,30,AKAM,14.01B,155.64M,149.34M,0.10%,-16.89%,95.40%,-1.95%,6.93%,6.93,1.49M,91.5,-0.62%,3710643
30,31,ALB,27.10B,117.23M,116.97M,0.10%,0.23%,85.80%,1.69%,5.52%,2.81,2.29M,228.17,-1.19%,2347804
31,32,ALC,39.97B,491.80M,-,0.06%,0.00%,60.30%,-,-,3.78,1.20M,81.27,0.47%,929124
32,33,ALGN,25.50B,76.92M,73.17M,0.30%,4.76%,89.30%,-1.36%,3.56%,3.48,748.32K,330.29,-0.87%,1257852
33,34,ALL,29.06B,263.50M,261.27M,0.62%,-5.26%,81.50%,1.16%,1.08%,1.41,2.00M,111.17,0.57%,3777524
34,35,ALLE,10.46B,88.00M,87.40M,0.10%,-2.51%,97.60%,1.69%,2.58%,2.77,814.69K,118.43,-0.43%,2881474
35,36,ALNY,25.20B,124.11M,122.39M,0.10%,-26.48%,97.20%,0.96%,4.13%,7.44,679.25K,201.57,-0.38%,847459
36,37,AMAT,117.66B,843.00M,834.39M,0.35%,-1.47%,79.90%,0.75%,1.55%,2.12,6.08M,138.93,-0.84%,8842976
37,38,AMCR,15.13B,1.47B,1.45B,0.20%,0.00%,48.50%,-0.82%,1.80%,3.33,7.86M,10.35,0.68%,19427395
38,39,AMD,200.07B,1.61B,1.61B,0.50%,-8.68%,70.70%,3.14%,2.27%,0.52,69.71M,120.08,-3.35%,81648013
39,40,AME,36.11B,230.13M,228.54M,0.30%,-3.79%,89.00%,0.85%,0.68%,1.53,1.02M,155.91,-0.50%,1748880
40,41,AMGN,122.06B,534.00M,532.96M,0.22%,0.00%,79.10%,-1.49%,1.39%,3.17,2.34M,229.66,0.53%,6760699
41,42,AMH,12.78B,360.35M,307.69M,2.70%,-1.22%,92.20%,-2.95%,2.81%,3.73,2.32M,35.4,0.28%,4753384
42,43,AMP,33.92B,107.90M,103.95M,0.20%,-29.12%,85.20%,-1.43%,1.24%,2.03,636.30K,325.0,-0.18%,936930
43,44,AMT,90.54B,465.74M,464.37M,0.10%,-4.11%,93.20%,-0.39%,0.88%,2.03,2.01M,192.89,-0.71%,3281162
44,45,AMX,70.29B,3.32B,3.14B,-,-,8.70%,-2.36%,0.14%,3.77,1.18M,22.02,-0.90%,1114980
45,46,AMZN,1304.19B,10.25B,9.26B,9.80%,-0.02%,60.10%,0.60%,0.81%,1.2,62.51M,125.49,-1.27%,83469181
46,47,ANET,50.39B,306.99M,234.12M,0.10%,-65.88%,67.90%,1.37%,2.76%,1.95,3.30M,157.79,-3.47%,4497419
47,48,ANSS,29.19B,86.93M,86.36M,0.10%,-46.74%,96.30%,-0.36%,0.98%,1.81,467.47K,334.37,-0.72%,886679
48,49,AON,67.62B,206.10M,189.53M,0.10%,-28.27%,89.60%,-1.51%,1.10%,2.46,848.83K,329.38,-0.51%,1463286
49,50,AOS,10.61B,150.90M,123.72M,0.81%,-4.68%,98.17%,0.60%,4.23%,4.83,1.08M,71.0,0.69%,1763806
50,51,APA,10.70B,311.00M,308.44M,0.43%,0.00%,82.40%,-3.48%,3.67%,1.86,6.09M,34.38,-0.84%,9091358
51,52,APD,64.59B,222.30M,220.96M,0.30%,-0.07%,85.40%,1.12%,0.92%,2.32,871.93K,293.17,0.83%,1809753
52,53,APH,48.74B,595.10M,591.63M,0.58%,-22.35%,96.80%,0.04%,0.96%,1.95,2.92M,82.15,0.34%,3715840
53,54,APLS,10.43B,113.87M,93.52M,1.50%,-15.39%,89.80%,1.78%,12.15%,7.26,1.57M,89.27,-0.37%,2001521
54,55,APO,43.91B,584.12M,328.86M,2.10%,-22.35%,56.10%,-0.68%,3.00%,3.78,2.62M,77.08,-0.40%,4105090
55,56,APTV,27.40B,271.01M,269.86M,0.20%,-12.09%,98.70%,1.67%,2.60%,3.31,2.12M,101.44,0.16%,3239850
56,57,ARCC,10.17B,544.58M,537.77M,1.38%,0.28%,31.45%,-,3.58%,6.31,3.05M,18.68,0.16%,8978360
57,58,ARE,20.96B,170.78M,162.65M,0.90%,-2.58%,95.76%,-1.04%,1.81%,2.7,1.09M,115.45,-4.70%,2916077
58,59,ARES,28.48B,178.98M,132.38M,1.00%,-75.79%,75.80%,0.96%,3.43%,4.16,1.09M,94.43,-0.88%,1798428
59,60,ARGX,21.99B,55.69M,55.68M,-,-,58.20%,-7.68%,2.01%,5.28,212.30K,399.94,0.99%,187463
60,61,ARMK,10.48B,260.67M,256.55M,0.50%,0.00%,107.55%,0.17%,4.20%,3.13,3.45M,40.53,0.77%,3285311
61,62,ASML,297.31B,394.59M,394.58M,0.40%,0.00%,19.50%,-1.16%,0.44%,1.79,972.95K,721.88,-2.28%,1336013
62,63,ASX,18.00B,2.14B,1.48B,-,-,7.10%,8.86%,0.57%,1.6,5.25M,8.85,-1.01%,6981151
63,64,ATO,16.98B,143.94M,139.25M,0.30%,-5.51%,93.70%,1.76%,4.04%,5.75,978.31K,117.0,-0.42%,1510044
64,65,ATVI,64.03B,785.00M,775.89M,0.10%,0.56%,83.10%,1.11%,2.91%,2.97,7.58M,81.97,0.64%,12232423
65,66,AU,10.37B,420.40M,413.45M,3.10%,0.00%,27.10%,-0.03%,1.71%,2.2,3.22M,24.16,-1.63%,4446923
66,67,AVB,27.05B,139.77M,139.45M,0.36%,-0.78%,93.80%,-0.49%,1.38%,2.49,771.62K,192.45,1.01%,1635482
67,68,AVGO,364.58B,415.00M,403.28M,0.10%,-10.42%,80.70%,3.32%,1.81%,2.61,2.80M,868.11,-1.73%,6824997
68,69,AVTR,13.43B,674.70M,656.38M,0.20%,-3.19%,91.70%,-3.88%,2.13%,2.27,6.16M,19.95,0.25%,8557076
69,70,AVY,13.65B,80.90M,80.45M,0.69%,-2.02%,92.80%,-4.70%,2.04%,2.89,566.66K,171.09,1.19%,921733
70,71,AWK,28.82B,186.00M,180.95M,0.19%,0.60%,89.00%,0.87%,1.10%,2.26,884.91K,148.98,0.60%,2040747
71,72,AXON,14.93B,72.64M,67.42M,1.20%,-51.31%,79.20%,2.63%,2.60%,1.6,1.09M,202.36,0.13%,3199447
72,73,AXP,129.18B,743.00M,741.74M,0.14%,-10.88%,86.40%,-0.47%,0.86%,1.97,3.26M,172.21,-0.92%,4613584
73,74,AZN,229.31B,3.10B,2.99B,0.50%,0.00%,17.90%,-2.10%,0.16%,1.18,4.15M,75.22,0.80%,4899807
74,75,AZO,45.34B,18.39M,18.15M,0.10%,-74.31%,96.60%,-3.01%,1.62%,1.71,171.55K,2493.83,-0.14%,417251
75,76,AZPN,10.82B,64.80M,28.44M,0.40%,-1.68%,49.00%,16.76%,4.67%,5.71,232.39K,167.33,0.31%,488136
76,77,BA,132.00B,602.50M,595.36M,0.10%,-0.07%,58.20%,1.08%,1.51%,1.64,5.48M,219.99,0.26%,7771621
77,78,BABA,238.57B,2.58B,2.56B,0.01%,0.00%,14.70%,-10.33%,2.27%,2.45,23.75M,92.1,-0.11%,24987197
78,79,BAC,234.05B,8.07B,7.96B,0.11%,-3.50%,71.00%,0.33%,0.87%,1.22,56.33M,29.19,-0.61%,51849290
79,80,BAH,14.05B,131.79M,129.93M,1.00%,-8.45%,94.40%,0.61%,1.43%,1.97,944.10K,108.61,1.15%,1171995
80,81,BALL,17.14B,314.24M,311.88M,0.50%,-6.38%,86.90%,-6.23%,5.56%,10.15,1.71M,58.43,7.23%,11536699
81,82,BAM,13.96B,412.43M,398.70M,7.87%,-0.23%,73.57%,-,2.48%,6.82,1.45M,33.26,-1.77%,2063425
82,83,BAP,14.01B,79.42M,51.64M,36.10%,0.00%,75.40%,0.08%,1.33%,1.93,356.42K,149.29,0.60%,610284
83,84,BATRA,30.69B,53.00M,9.95M,3.71%,-2.05%,81.20%,0.01%,8.51%,16.95,49.97K,41.33,-0.12%,184625
84,85,BATRK,30.28B,41.82M,37.56M,10.18%,-0.74%,76.38%,-,1.97%,6.38,115.96K,39.73,-0.95%,250946
85,86,BAX,22.49B,505.00M,503.13M,0.24%,-5.28%,89.50%,0.72%,1.04%,0.92,5.67M,45.36,2.02%,7916070
86,87,BBD,34.76B,5.31B,5.31B,-,-,15.86%,-,1.02%,2.03,26.72M,3.51,-0.28%,21857921
87,88,BBVA,43.97B,6.02B,5.89B,7.90%,0.00%,3.10%,2.60%,0.07%,2.08,1.90M,7.45,0.81%,1079221
88,89,BBY,17.23B,218.90M,200.83M,0.20%,-19.76%,83.00%,-3.43%,5.04%,4.2,2.41M,79.79,1.03%,6434063
89,90,BCE,41.39B,912.10M,911.74M,0.02%,0.00%,52.90%,-0.44%,1.98%,14.24,1.27M,45.7,0.64%,1814152
90,91,BCH,10.73B,505.08M,212.15M,87.90%,0.00%,1.10%,-4.88%,0.13%,1.88,145.32K,21.25,0.24%,440888
91,92,BCS,30.29B,3.94B,3.85B,12.00%,0.00%,3.50%,1.40%,0.15%,0.62,9.67M,7.93,0.13%,8804747
92,93,BDX,72.75B,284.29M,282.10M,0.10%,-0.50%,90.90%,-1.95%,0.83%,2.09,1.12M,258.63,0.96%,1481696
93,94,BEKE,20.09B,1.26B,1.19B,0.10%,0.00%,42.10%,6.70%,2.31%,3.57,7.71M,16.98,-0.59%,7937395
94,95,BEN,13.67B,490.70M,283.20M,18.70%,-0.03%,47.90%,1.22%,5.01%,4.45,3.19M,26.97,-1.21%,3236943
95,96,BF-A,31.60B,169.24M,48.84M,71.14%,-0.00%,10.90%,-,0.46%,5.42,41.89K,66.91,-0.93%,351009
96,97,BF-B,31.64B,479.15M,470.80M,1.75%,-0.01%,50.30%,0.34%,0.72%,2.51,1.35M,65.4,0.31%,2667339
97,98,BG,14.19B,150.08M,129.65M,0.40%,0.00%,87.80%,-1.29%,3.32%,3.27,1.31M,96.43,2.37%,2803253
98,99,BGNE,19.63B,104.17M,93.91M,0.10%,-97.76%,57.40%,-0.46%,1.95%,9.41,195.03K,200.21,-0.41%,550005
99,100,BHP,159.16B,2.53B,2.46B,5.40%,0.00%,3.50%,-6.34%,0.30%,2.6,2.82M,63.17,-1.27%,2867132
100,101,BIDU,51.99B,349.60M,280.73M,15.60%,0.00%,31.90%,-11.39%,1.99%,1.87,2.98M,145.11,-2.42%,2842350
101,102,BIIB,43.11B,144.40M,143.01M,0.10%,-2.25%,88.60%,0.83%,1.77%,2.57,984.25K,297.48,-0.12%,1914252
102,103,BILL,12.17B,106.60M,101.36M,0.30%,-25.13%,98.50%,-0.71%,9.64%,4.91,1.99M,111.26,-2.80%,2161262
103,104,BIO,11.18B,29.60M,21.32M,3.30%,-0.25%,80.50%,1.29%,1.80%,1.95,196.43K,376.56,-0.66%,513109
104,105,BIP,16.79B,458.40M,458.04M,42.30%,0.00%,64.40%,3.51%,0.43%,5.78,339.97K,35.41,-3.30%,499307
105,106,BK,35.41B,803.34M,787.08M,0.10%,0.00%,85.50%,-0.02%,0.96%,1.43,5.29M,44.65,-0.49%,12628224
106,107,BKNG,98.67B,37.62M,36.86M,0.20%,-17.48%,94.10%,-2.44%,2.08%,2.41,319.32K,2640.99,-1.15%,828632
107,108,BKR,30.61B,1.01B,1.00B,0.15%,-2.23%,98.42%,0.62%,1.64%,2.27,7.22M,30.57,1.09%,12498282
108,109,BLDR,15.77B,137.07M,127.05M,1.50%,-1.19%,103.88%,-6.87%,3.93%,2.06,2.43M,121.41,-1.30%,7814256
109,110,BLK,106.51B,149.90M,148.63M,0.60%,-5.38%,80.50%,1.00%,1.47%,3.41,638.76K,702.78,-1.18%,1280969
110,111,BMO,63.96B,711.62M,676.94M,0.10%,0.00%,54.10%,0.14%,-,-,589.47K,90.21,0.55%,489824
111,112,BMRN,17.99B,186.67M,184.48M,0.30%,-29.45%,100.41%,2.08%,3.65%,6.19,1.09M,96.29,0.47%,1423791
112,113,BMY,135.86B,2.10B,2.10B,0.07%,-17.14%,79.40%,-0.73%,0.90%,2.37,7.94M,66.16,2.30%,19344176
113,114,BN,54.79B,1.57B,1.38B,12.90%,-0.04%,73.00%,1.06%,1.40%,8.37,2.32M,33.54,0.27%,2642681
114,115,BNS,60.11B,1.19B,1.18B,0.03%,0.00%,65.50%,7.89%,1.64%,14.91,1.30M,50.16,-0.59%,1147773
115,116,BNTX,27.23B,242.60M,212.72M,65.11%,0.00%,17.00%,12.15%,0.95%,2.83,717.05K,112.55,-0.40%,663599
116,117,BP,102.73B,2.98B,2.88B,0.50%,0.00%,9.90%,-3.60%,0.18%,0.61,8.64M,35.35,-0.08%,6858310
117,118,BR,18.84B,117.70M,116.87M,0.60%,-6.32%,90.40%,0.24%,2.15%,3.90,643.12K,160.8,0.69%,1159028
118,119,BRK-A,745.30B,1.46M,1.20M,39.73%,-1.13%,18.00%,-,0.07%,0.14,5.73K,514000.0,-0.46%,6534
119,120,BRK-B,739.57B,1.30B,1.29B,0.37%,-0.08%,66.12%,-,0.49%,1.81,3.49M,338.31,-0.44%,8461113
120,121,BRKR,11.05B,146.80M,98.87M,26.40%,-2.06%,72.40%,-10.49%,3.60%,3.95,902.55K,75.48,0.19%,1553683
121,122,BRO,18.73B,278.60M,235.82M,0.10%,2.89%,75.10%,-0.94%,1.23%,2.3,1.26M,66.25,0.30%,1946063
122,123,BSBR,23.84B,7.45B,3.27B,13.73%,0.00%,0.70%,0.23%,0.07%,2.28,1.06M,6.39,-0.16%,989826
123,124,BSX,77.61B,1.44B,1.43B,0.20%,-11.74%,94.60%,0.94%,0.86%,1.34,9.25M,54.32,0.63%,13015827
124,125,BSY,15.85B,310.76M,207.07M,21.80%,-1.53%,36.90%,0.96%,2.90%,6.6,909.72K,53.29,-1.35%,1724131
125,126,BTI,73.01B,2.25B,2.12B,4.60%,0.00%,7.60%,7.23%,0.20%,0.88,4.76M,32.82,-0.15%,4818460
126,127,BTO,46.60B,1.08B,1.06B,0.04%,0.00%,20.72%,-,0.01%,0.84,96.27K,27.86,1.90%,143247
127,128,BUD,99.87B,1.70B,609.79M,53.90%,0.00%,6.80%,5.27%,1.40%,3.27,2.60M,58.21,-0.61%,3547631
128,129,BWA,11.32B,234.37M,232.91M,0.10%,-59.78%,97.30%,-1.22%,2.55%,2.51,2.37M,48.6,0.66%,4733941
129,130,BX,112.79B,746.07M,700.30M,0.30%,-97.32%,64.50%,0.78%,2.99%,4.5,4.65M,91.13,-1.64%,5652892
130,131,C,94.53B,1.94B,1.93B,0.20%,-1.02%,73.70%,-0.03%,1.36%,1.55,16.97M,48.19,-0.76%,18204030
131,132,CAG,16.59B,477.50M,474.27M,0.30%,-6.63%,84.10%,-2.35%,3.10%,3.28,4.48M,34.64,-0.43%,4595105
132,133,CAH,22.70B,256.00M,253.48M,0.60%,0.00%,93.00%,0.13%,2.32%,2.66,2.21M,91.25,2.34%,5132748
133,134,CARR,38.85B,835.00M,826.32M,0.10%,-35.93%,87.90%,-0.27%,2.83%,4.06,5.76M,46.88,0.73%,9582853
134,135,CAT,127.64B,516.20M,511.18M,-,-,70.90%,-1.83%,1.44%,2.25,3.26M,245.27,-0.97%,5209376
135,136,CB,79.21B,414.29M,413.20M,0.30%,-2.00%,90.50%,-0.57%,0.63%,1.47,1.78M,194.94,1.92%,3376661
136,137,CBOE,14.58B,105.90M,105.06M,0.20%,-15.37%,84.00%,-3.02%,1.55%,2.44,668.27K,137.36,-0.52%,1108959
137,138,CBRE,24.45B,310.46M,307.90M,0.10%,-2.06%,99.20%,-1.94%,3.12%,5.03,1.91M,77.81,-1.09%,3406437
138,139,CCEP,30.11B,457.00M,289.36M,0.35%,0.00%,32.00%,0.98%,1.31%,3.49,1.09M,65.35,-0.41%,1962455
139,140,CCI,50.69B,433.00M,430.78M,0.35%,-1.47%,93.10%,0.37%,1.07%,2.06,2.24M,114.61,-1.95%,3981529
140,141,CCJ,13.70B,432.85M,432.02M,0.20%,0.00%,70.10%,-0.84%,3.85%,3.99,4.18M,31.76,0.38%,4296991
141,142,CCK,10.42B,119.20M,117.79M,0.10%,-7.35%,99.20%,2.71%,2.77%,3.31,985.31K,88.81,2.37%,20478600
142,143,CCL,20.03B,1.26B,1.03B,0.10%,-7.79%,50.90%,9.16%,11.78%,3.06,39.42M,15.8,-1.99%,50985481
143,144,CDAY,10.51B,154.25M,152.11M,0.30%,-15.92%,110.00%,-3.17%,7.70%,8.51,1.38M,67.08,-1.06%,2256607
144,145,CDNS,64.84B,272.68M,270.06M,0.60%,-27.75%,90.20%,0.94%,1.35%,1.94,1.88M,235.84,-0.81%,5005890
145,146,CDW,24.02B,135.60M,134.45M,0.10%,-1.21%,97.20%,1.37%,1.13%,1.58,962.19K,178.15,-0.03%,1527771
146,147,CE,12.71B,108.63M,108.11M,0.20%,1.92%,96.60%,-0.50%,4.36%,3.53,1.33M,114.0,-2.40%,2258082
147,148,CEG,30.32B,328.00M,323.86M,0.10%,0.00%,83.30%,-0.00%,2.56%,3.75,2.21M,92.89,-0.61%,4961890
148,149,CELH,11.11B,76.67M,40.47M,0.50%,-79.28%,56.60%,-0.04%,25.86%,9.75,1.07M,144.44,-0.21%,861068
149,150,CF,13.66B,196.20M,194.08M,0.20%,-7.70%,97.00%,-2.46%,1.77%,1.24,2.77M,71.27,1.70%,5873223
150,151,CFG,13.40B,485.44M,479.14M,0.30%,-10.20%,92.10%,-0.02%,5.44%,2.78,9.37M,27.26,-1.55%,11758540
151,152,CFLT,10.21B,291.87M,151.39M,0.40%,-81.22%,78.40%,1.16%,13.20%,5.12,3.90M,34.69,0.58%,7960687
152,153,CG,11.45B,362.94M,240.29M,2.30%,-1.30%,54.10%,2.11%,9.38%,7.29,3.09M,31.38,-0.73%,3510520
153,154,CHD,23.41B,243.80M,243.43M,0.18%,-48.16%,84.70%,-0.89%,1.26%,2.13,1.44M,96.16,0.33%,1825099
154,155,CHDN,10.21B,74.87M,66.99M,2.90%,-2.24%,74.70%,-,2.16%,3.58,403.55K,136.39,-0.95%,642757
155,156,CHK,10.91B,134.74M,127.54M,0.10%,0.00%,98.30%,-2.78%,7.06%,6.55,1.37M,82.36,1.02%,1056924
156,157,CHKP,15.75B,119.80M,100.67M,24.80%,0.00%,69.90%,-1.26%,5.31%,5.85,913.53K,130.91,0.35%,1587270
157,158,CHRW,11.11B,118.64M,115.10M,0.30%,-7.67%,99.20%,-0.27%,12.54%,12.41,1.16M,94.62,-0.78%,1840603
158,159,CHT,31.75B,775.74M,775.74M,-,-,2.28%,-,0.05%,4.05,95.77K,40.88,-0.29%,138395
159,160,CHTR,51.63B,151.44M,99.13M,12.30%,-0.15%,67.80%,-3.78%,8.90%,8.4,1.05M,341.24,-0.47%,1720985
160,161,CHWY,17.32B,426.85M,113.65M,2.30%,-5.23%,99.60%,0.20%,16.69%,4.13,4.59M,39.64,-2.17%,3982761
161,162,CI,79.73B,295.71M,293.81M,0.10%,-11.92%,91.60%,-1.52%,0.80%,1.26,1.88M,268.83,-0.24%,2894785
162,163,CINF,15.78B,157.20M,156.19M,0.50%,-2.31%,68.00%,2.21%,1.49%,3.46,673.84K,100.9,0.50%,2512223
163,164,CL,63.71B,831.40M,829.55M,0.10%,-26.27%,81.30%,-0.61%,1.50%,2.43,5.12M,77.78,1.28%,7364899
164,165,CLX,19.16B,123.65M,122.88M,0.10%,0.00%,82.20%,-1.42%,3.45%,3.5,1.21M,156.54,1.02%,1620715
165,166,CM,39.76B,912.30M,893.84M,0.06%,0.00%,70.80%,4.63%,1.10%,8.19,1.20M,44.15,0.59%,2956385
166,167,CMCSA,172.88B,4.21B,4.12B,0.74%,0.00%,85.60%,-1.85%,0.92%,1.97,19.23M,41.2,-0.65%,33882710
167,168,CME,65.55B,358.93M,358.10M,0.20%,0.30%,88.20%,0.51%,1.40%,3.26,1.55M,184.11,1.04%,3637833
168,169,CMG,56.60B,27.62M,27.55M,0.50%,-20.41%,96.30%,-0.61%,2.91%,2.8,286.58K,2032.92,-0.91%,343603
169,170,CMI,33.58B,141.50M,140.40M,0.20%,-6.16%,85.40%,1.12%,1.55%,2.06,1.06M,235.81,-0.58%,1788610
170,171,CMS,17.80B,290.70M,288.35M,0.45%,-1.12%,94.00%,-1.60%,3.06%,3.89,2.27M,60.74,-0.46%,2644767
171,172,CNA,10.36B,271.30M,270.07M,0.31%,9.78%,99.00%,-0.28%,0.17%,2.69,172.17K,38.51,0.71%,508950
172,173,CNC,36.28B,550.78M,545.25M,0.50%,1.81%,98.40%,-1.26%,1.37%,2.12,3.50M,65.66,-0.70%,5622573
173,174,CNHI,19.90B,1.34B,1.01B,27.15%,0.00%,50.40%,-,1.37%,2.59,5.33M,14.53,-0.21%,4575350
174,175,CNI,79.55B,668.30M,615.44M,0.20%,0.00%,77.80%,0.83%,1.28%,6.58,1.19M,118.95,0.84%,1637766
175,176,CNP,18.47B,630.00M,628.70M,0.20%,-0.61%,93.10%,1.40%,1.44%,2.37,3.81M,29.18,-0.31%,6640359
176,177,CNQ,61.57B,1.10B,1.09B,3.30%,0.00%,66.60%,-2.93%,3.29%,16.94,2.12M,55.01,-1.06%,1546003
177,178,COF,42.63B,382.60M,377.50M,1.00%,-0.22%,91.00%,-0.04%,2.37%,2.66,3.35M,110.07,-1.42%,4275906
178,179,COIN,12.73B,231.49M,175.62M,0.20%,51.29%,59.30%,-0.33%,20.37%,2.3,15.58M,55.59,2.47%,13699144
179,180,COO,18.20B,49.50M,49.08M,0.55%,-13.12%,101.17%,-4.09%,1.29%,2.1,300.73K,367.41,-0.04%,628289
180,181,COP,126.03B,1.22B,1.21B,0.10%,0.51%,83.40%,-0.14%,0.92%,1.76,6.30M,104.92,0.74%,9904786
181,182,COST,234.51B,443.81M,441.63M,0.20%,-1.78%,69.10%,0.27%,0.81%,1.93,1.85M,523.65,-1.05%,3140937
182,183,COTY,10.62B,851.60M,351.59M,2.80%,0.00%,37.80%,-1.35%,5.46%,3.77,5.10M,12.44,-0.08%,6694373
183,184,CP,96.36B,930.70M,929.94M,0.03%,0.00%,69.50%,0.60%,1.77%,8.66,1.90M,78.52,0.11%,1816780
184,185,CPB,13.84B,299.00M,192.10M,0.30%,-4.01%,52.90%,-0.21%,7.30%,5.79,2.42M,46.42,-0.04%,3679510
185,186,CPNG,30.19B,1.77B,1.58B,0.20%,-48.82%,80.10%,0.00%,1.27%,2.75,7.28M,17.28,1.83%,9375071
186,187,CPRT,41.59B,476.79M,427.93M,9.50%,-1.01%,82.60%,-0.09%,1.19%,2.37,2.14M,87.28,0.20%,4188973
187,188,CPT,11.97B,108.57M,105.47M,1.14%,-1.50%,99.00%,-0.38%,1.85%,2.47,789.81K,113.11,0.86%,1257790
188,189,CQP,22.78B,484.03M,142.03M,49.57%,0.16%,25.98%,-,0.89%,7.02,179.87K,47.07,2.73%,592169
189,190,CRBG,10.83B,650.80M,141.83M,78.00%,-12.72%,22.70%,-,6.56%,3.69,2.52M,16.47,-1.44%,2869032
190,191,CRH,38.16B,751.40M,728.54M,1.00%,0.00%,5.60%,6.86%,0.21%,1.97,792.17K,53.14,0.78%,1746004
191,192,CRL,10.69B,51.10M,50.37M,0.10%,-35.15%,99.00%,3.39%,2.73%,2.59,530.71K,209.99,0.49%,667462
192,193,CRM,206.41B,980.00M,967.51M,0.10%,-43.68%,79.50%,-0.96%,1.00%,1.48,6.54M,211.76,-0.08%,13661531
193,194,CRWD,37.89B,236.41M,215.39M,0.70%,-9.44%,76.20%,0.49%,3.34%,1.77,4.06M,155.14,-2.92%,6340498
194,195,CSCO,211.62B,4.09B,4.07B,0.10%,-4.23%,74.90%,-0.08%,1.38%,2.92,19.34M,52.07,0.27%,37112242
