,No.,Ticker,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price,Change,Volume
786,787,WRB,15.23B,15.24,10.58,1.69,1.37,2.35,12.26,7.38,102.80%,19.92%,32.40%,9.00%,7.80%,59.28,1.51%,3783795
787,788,WSO,16.21B,23.90,24.94,5.41,2.22,6.88,114.99,67.61,43.00%,2.70%,22.90%,4.42%,10.90%,366.58,-0.17%,461141
788,789,WST,26.71B,50.16,41.48,1.84,9.26,9.72,30.14,75.20,-11.60%,13.53%,20.10%,27.20%,12.50%,362.04,0.62%,1129299
789,790,WTRG,11.01B,24.34,20.48,4.51,4.76,1.98,547.70,-,6.90%,8.70%,5.00%,5.40%,23.10%,41.43,-0.50%,2128171
790,791,WTW,24.76B,22.56,13.81,1.35,2.77,2.49,-,71.15,-43.60%,18.37%,14.80%,16.77%,1.60%,235.0,1.00%,1719948
791,792,WY,22.53B,18.28,26.98,3.66,2.52,2.26,28.26,67.44,-27.10%,38.60%,24.70%,5.00%,7.20%,31.0,0.78%,15280621
792,793,WYNN,11.90B,-,24.01,-,2.82,-,3.10,-,43.90%,126.59%,-24.10%,-,-9.20%,103.73,-0.80%,2265369
793,794,XEL,35.40B,19.77,17.74,3.24,2.26,2.09,310.52,-,7.30%,7.07%,6.60%,6.10%,6.10%,63.92,-0.62%,6368672
794,795,XM,10.95B,-,58.48,-,7.14,5.70,13.57,294.23,11.30%,41.74%,-,-,38.10%,18.07,0.11%,4475947
795,796,XOM,428.11B,7.12,11.53,-,1.08,2.17,13.11,9.84,146.40%,-7.79%,32.60%,-10.74%,10.90%,105.13,-0.72%,43103014
796,797,XP,12.25B,16.93,11.90,1.23,4.41,3.35,19.08,16.68,-0.20%,20.80%,52.80%,13.76%,47.60%,22.13,1.24%,4860742
797,798,XPEV,10.01B,-,-,-,3.04,2.02,3.01,-,-80.30%,37.10%,-,-5.74%,-,11.38,-1.81%,17459063
798,799,XYL,27.13B,55.23,31.87,2.94,4.76,5.72,32.42,119.00,-16.60%,12.02%,-1.20%,18.76%,3.20%,113.44,0.09%,3473229
799,800,YPF,10.74B,4.42,4.32,-,0.9,0.63,9.87,-,-38.60%,-3.20%,87.90%,-,58.50%,14.55,8.18%,4696623
800,801,YUM,38.99B,32.51,23.42,2.31,5.62,-,111.71,68.28,-12.40%,15.52%,-1.80%,14.10%,3.10%,138.58,-0.45%,3747820
801,802,YUMC,24.70B,39.87,22.46,1.11,2.52,3.72,8.29,27.72,-54.40%,19.95%,-5.90%,36.04%,4.30%,59.4,0.44%,2503321
802,803,Z,10.87B,-,28.81,-,5.75,2.42,-,-,-23.10%,47.30%,40.01%,-,-,46.68,-3.07%,10275926
803,804,ZBH,29.74B,67.43,18.11,9.21,4.18,2.48,90.06,44.32,-34.80%,7.09%,-12.30%,7.32%,-2.30%,144.1,1.07%,2812522
804,805,ZBRA,14.63B,35.94,15.56,9.24,2.54,5.02,172.16,52.08,-43.30%,14.81%,39.70%,3.89%,9.20%,282.4,-0.76%,636690
805,806,ZG,11.21B,-,28.58,-,5.93,2.37,3.33,-,82.80%,48.52%,10.50%,-,12.70%,45.76,-2.95%,432473
806,807,ZI,11.43B,106.85,23.06,5.63,9.88,4.66,18.55,31.02,-40.00%,16.42%,51.34%,18.96%,-,26.82,-5.56%,58345498
807,808,ZM,20.81B,-,15.98,-,4.7,3.17,3.72,19.38,-92.40%,1.81%,66.00%,-0.46%,96.10%,70.06,0.17%,4728349
808,809,ZS,23.10B,-,73.06,-,15.61,37.20,11.74,75.24,-43.40%,29.09%,-48.50%,61.87%,54.10%,154.01,-2.73%,3207002
809,810,ZTO,22.85B,21.39,15.01,1.13,4.46,2.95,8.82,12.41,43.10%,20.40%,13.50%,19.00%,22.10%,27.46,-1.79%,5890676
810,811,ZTS,79.22B,38.56,28.08,3.51,9.79,17.60,37.63,95.79,5.20%,12.53%,15.50%,11.00%,8.80%,170.74,-0.40%,3285481
